Frequency (GHz),RE[Y11],IM[Y11],RE[Y12],IM[Y12],RE[Y13],IM[Y13],RE[Y21],IM[Y21],RE[Y22],IM[Y22],RE[Y23],IM[Y23],RE[Y31],IM[Y31],RE[Y32],IM[Y32],RE[Y33],IM[Y33]
0.224,-5.32E-07,-1.073905523,5.3257296599e-7,1.074052297,-2.72E-13,-4.41E-06,5.3257296598e-7,1.074052297,-5.33E-07,-1.073905339,2.586710817e-13,-7.55E-06,-2.72E-13,-4.41E-06,2.586710466e-13,-7.55E-06,6.287558113e-15,2.0008494298e-4
0.2245,-5.96E-07,-1.071516516,5.9600942424e-7,1.071663618,-2.67E-13,-4.42E-06,5.9600942424e-7,1.071663618,-5.96E-07,-1.071516332,2.524298259e-13,-7.56E-06,-2.67E-13,-4.42E-06,2.524298525e-13,-7.56E-06,7.243120749e-15,2.0053159757e-4
0.225,-6.59E-07,-1.069138094,6.5876835631e-7,1.069285523,-2.60E-13,-4.43E-06,6.5876835632e-7,1.069285523,-6.59E-07,-1.069137909,2.439257437e-13,-7.58E-06,-2.60E-13,-4.43E-06,2.439258060e-13,-7.58E-06,8.193219673e-15,2.0097825240e-4
0.2255,-7.21E-07,-1.066770187,7.2085539760e-7,1.066917944,-2.51E-13,-4.44E-06,7.2085539760e-7,1.066917944,-7.21E-07,-1.066770002,2.331784873e-13,-7.60E-06,-2.51E-13,-4.44E-06,2.331784505e-13,-7.60E-06,9.149372780e-15,2.0142490748e-4
0.226,-7.82E-07,-1.064412725,7.8227597788e-7,1.06456081,-2.40E-13,-4.45E-06,7.8227597789e-7,1.06456081,-7.82E-07,-1.06441254,2.202079538e-13,-7.61E-06,-2.40E-13,-4.45E-06,2.202079251e-13,-7.61E-06,1.009314379e-14,2.0187156281e-4
0.2265,-8.43E-07,-1.06206564,8.4303559103e-7,1.062214053,-2.27E-13,-4.46E-06,8.4303559103e-7,1.062214053,-8.43E-07,-1.062065454,2.050329584e-13,-7.63E-06,-2.27E-13,-4.46E-06,2.050328741e-13,-7.63E-06,1.104054113e-14,2.0231821838e-4
0.227,-9.03E-07,-1.059728864,9.0313965547e-7,1.059877603,-2.11E-13,-4.47E-06,9.0313965547e-7,1.059877603,-9.03E-07,-1.059728677,1.876724060e-13,-7.65E-06,-2.11E-13,-4.47E-06,1.876724010e-13,-7.65E-06,1.198538183e-14,2.0276487419e-4
0.2275,-9.62E-07,-1.057402327,9.6259350832e-7,1.057551395,-1.93E-13,-4.48E-06,9.6259350832e-7,1.057551395,-9.62E-07,-1.057402141,1.681444942e-13,-7.66E-06,-1.93E-13,-4.48E-06,1.681443998e-13,-7.66E-06,1.293261245e-14,2.0321153025e-4
0.228,-1.02E-06,-1.055085965,1.0214024311e-6,1.05523536,-1.73E-13,-4.49E-06,1.0214024311e-6,1.05523536,-1.02E-06,-1.055085777,1.464717912e-13,-7.68E-06,-1.73E-13,-4.49E-06,1.464717638e-13,-7.68E-06,1.387054899e-14,2.0365818656e-4
0.2285,-1.08E-06,-1.052779709,1.0795717375e-6,1.052929431,-1.51E-13,-4.50E-06,1.0795717375e-6,1.052929431,-1.08E-06,-1.052779521,1.226689293e-13,-7.70E-06,-1.51E-13,-4.50E-06,1.226689470e-13,-7.70E-06,1.480862786e-14,2.0410484311e-4
0.229,-1.14E-06,-1.050483493,1.1371065711e-6,1.050633544,-1.27E-13,-4.51E-06,1.1371065711e-6,1.050633544,-1.14E-06,-1.050483305,9.675822771e-14,-7.71E-06,-1.27E-13,-4.51E-06,9.675835843e-14,-7.71E-06,1.574520461e-14,2.0455149991e-4
0.2295,-1.19E-06,-1.048197254,1.1940120915e-6,1.048347632,-1.01E-13,-4.52E-06,1.1940120915e-6,1.048347632,-1.19E-06,-1.048197065,6.875901786e-14,-7.73E-06,-1.01E-13,-4.52E-06,6.875896127e-14,-7.73E-06,1.667865698e-14,2.0499815697e-4
