Frequency (GHz),RE[Y11],IM[Y11],RE[Y12],IM[Y12],RE[Y21],IM[Y21],RE[Y22],IM[Y22]
0.253,4.8193810252e-6,-2.358120693,-1.25E-12,-2.92E-06,-1.25E-12,-2.92E-06,4.057720892e-14,4.1379375728e-5
0.2535,4.8682038967e-6,-2.353464924,-1.24E-12,-2.92E-06,-1.24E-12,-2.92E-06,4.115073870e-14,4.1461153457e-5
0.254,4.9164198847e-6,-2.348827535,-1.23E-12,-2.93E-06,-1.23E-12,-2.93E-06,4.173163344e-14,4.1542931188e-5
0.2545,4.9640332813e-6,-2.344208417,-1.22E-12,-2.93E-06,-1.22E-12,-2.93E-06,4.230323949e-14,4.1624708920e-5
0.255,5.0110484495e-6,-2.339607462,-1.21E-12,-2.94E-06,-1.21E-12,-2.94E-06,4.287443941e-14,4.1706486655e-5
0.2555,5.0574702837e-6,-2.335024562,-1.20E-12,-2.95E-06,-1.20E-12,-2.95E-06,4.344967416e-14,4.1788264391e-5
0.256,5.1033019811e-6,-2.330459613,-1.19E-12,-2.95E-06,-1.19E-12,-2.95E-06,4.401673141e-14,4.1870042130e-5
0.2565,5.1485487619e-6,-2.325912508,-1.17E-12,-2.96E-06,-1.17E-12,-2.96E-06,4.458449288e-14,4.1951819870e-5
0.257,5.1932146141e-6,-2.321383144,-1.16E-12,-2.96E-06,-1.16E-12,-2.96E-06,4.514851855e-14,4.2033597611e-5
0.2575,5.2373038169e-6,-2.316871415,-1.15E-12,-2.97E-06,-1.15E-12,-2.97E-06,4.571990983e-14,4.2115375355e-5
0.258,5.2808202469e-6,-2.31237722,-1.14E-12,-2.97E-06,-1.14E-12,-2.97E-06,4.628312499e-14,4.2197153101e-5
0.2585,5.3237682547e-6,-2.307900457,-1.13E-12,-2.98E-06,-1.13E-12,-2.98E-06,4.684371465e-14,4.2278930848e-5
0.259,5.3661517731e-6,-2.303441023,-1.12E-12,-2.99E-06,-1.12E-12,-2.99E-06,4.740723043e-14,4.2360708597e-5
0.2595,5.4079755528e-6,-2.298998819,-1.11E-12,-2.99E-06,-1.11E-12,-2.99E-06,4.796367992e-14,4.2442486348e-5
